"Record_@setEntry","Record_Access-Restrictions","Record_Access-Restrictions_0","Record_Access-Restrictions_1","Record_AccessionNumber","Record_AccessionNumber_0","Record_AccessionNumber_1","Record_Archives-Location","Record_Archives-Location_0","Record_Archives-Location_1","Record_Archives-Location_2","Record_Archives-Location_3","Record_Date-Received","Record_Date-Received_0","Record_Date-Received_1","Record_Description","Record_Description_0","Record_Description_1","Record_Description_10","Record_Description_11","Record_Description_12","Record_Description_13","Record_Description_14","Record_Description_15","Record_Description_16","Record_Description_17","Record_Description_18","Record_Description_19","Record_Description_2","Record_Description_20","Record_Description_21","Record_Description_22","Record_Description_23","Record_Description_24","Record_Description_25","Record_Description_26","Record_Description_27","Record_Description_28","Record_Description_29","Record_Description_3","Record_Description_30","Record_Description_31","Record_Description_32","Record_Description_33","Record_Description_34","Record_Description_35","Record_Description_36","Record_Description_37","Record_Description_38","Record_Description_39","Record_Description_4","Record_Description_40","Record_Description_41","Record_Description_42","Record_Description_43","Record_Description_44","Record_Description_45","Record_Description_46","Record_Description_47","Record_Description_48","Record_Description_49","Record_Description_5","Record_Description_50","Record_Description_51","Record_Description_52","Record_Description_53","Record_Description_54","Record_Description_55","Record_Description_56","Record_Description_57","Record_Description_58","Record_Description_59","Record_Description_6","Record_Description_60","Record_Description_61","Record_Description_62","Record_Description_7","Record_Description_8","Record_Description_9","Record_Donor-Office","Record_Donor-Office_0","Record_Donor-Office_1","Record_Donor-Office_2","Record_Donor-Office_3","Record_Extent","Record_Extent_0","Record_Extent_1","Record_Inclusive-Date","Record_Inclusive-Date_0","Record_Inclusive-Date_1","Record_Inclusive-Date_2","Record_Notes","Record_Notes_0","Record_Notes_1","Record_Notes_2","Record_Notes_3","Record_Title","Record_Title_0","Record_Title_1","Record_Title_2","Record_Title_3"
"2882","None","","","2007-32","","","Unit F, Bay 1, Shelf 5","","","","","February 22, 2007","","","Miscellaneous photographs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Shani Pearson, Alumnae Office","","","","","None","","","mostly 2003","","","","None","","","","","Photograph Collection","","","",""
"2883","Yes - biographical information","","","2007-33","","","Unit B, Bay 4, Shelf 4","","","","","February 28, 2007","","","Memorandum of Understanding between Mount Saint Vincent University Alumnae Association and Mount Saint Vincent University, 2006
Alumnae Association Reference/Orientation Binder for Board of Directors, 2004-2005
Alumnae Association Minutes, 2003-2004
Alumnae Association Minutes, 1998-1999
Biographical Information about Major Margaret C. Macdonald (alumnae of MSV Academy)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Shani Pearson, Alumnae Relations","","","","","4 file folders","","","1998-2006","","","","None","","","","","Alumnae Relations","","","",""
"2884","None","","","2007-34","","","Photograph Collection #2683","","","","","February 28, 2007","","","Photograph of Members of the Commonwealth of Learning.
They were here for a 1 month tour, possibly in 2002.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lis Banfield, Distance Learning and Continuing Education","","","","","3 photos.","","","2002?","","","","None","","","","","Photograph Collection","","","",""
"2885","None","","","2007-35","","","","Unit F, Bay 1, Shelves 3 and 4","Photograph collection #2687-#2726","Artifacts #116-#117","","February 28, 2007","","","Miscellaneous photographs, brochures, yearbooks, and other alumnae materials
Box 1
Insight Issues &ndash; 1977-1983
The Mount File: The Future Of Women &ndash; 1979-1980
President Reports &ndash; 1989-1994
Alumnae Information &ndash; 1965-1971
Homecoming &ndash; 1980
A. Preston Young - 1965
Rosaria and E. Margaret Fulton Centres &ndash; 1981-1989
Newsletters and Newspaper Clippings &ndash; 1958-1995
Awards Banquet Brochures &ndash; 1991-1995
Miscellaneous &ndash; 1962-late 1990s
Class of 1982 &ndash; 1982
Jubilee &ndash; 1985-1988
Correspondence &ndash; June 1981
Miscellaneous &ndash; 1980-1982
Time Capsule
Christmas Break - 1992
Homecoming commemorative booklet - 1982
Miscellaneous Mount Items - 1972-1995
Miscellaneous Alumnae Association items - 1983-1997
Metro Consortium - 1995
1997 Activities
1996 Activities
Reunion '96 Sponsorship
Reunion '96 Video
Nominations '96
Memorial Services - 1993-1996
Plans for Alumnae Pin/Badge
Naomi Hersom - 1986-1991
Lists of Alumnae Members - 1993-1994
Facts, Reports, Goals, Plans - 1958-1995
Folia Montana - 1993-1995
Alumnae Positions - 1996-1997
Office Structure Proposal - 1996
Honorary Membership
Alumnae Award of Distinction
Student Sendoff Program - 1993?
Fundraising - 1991-1996
Sister Marie Agnes Award - 1979-1996
Long Range Planning Committee - 1986

Box 2
New Brunswick Alumnae Chapter - 1991-1997
Time Capsule Association - 1993
Alumnae Award for Teaching Excellence - 1984
Homecomings and Reunions - 1978-1996
Class of '69 - 1993-1994
President's Day Dinner Pamphlets - 1983-1995
President's Dinner - 1989
Golden Jubilee Program - 1971
Awards Committee
Alumnae Golf Tournament - 1994-1997
Golf Promotion - 1996
Golf Donations - 1995
Hillary Clinton at MSVU - 1995
Alumnae in the News
Annual Reports
Materials donated by Elizabeth Macdonald","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Shani Pearson, Alumnae Relations","","","","","4 boxes","","","1958-1997","","","","To be sorted","","","","","Alumnae Relations","","","",""
"2886","None","","","2007-36","","","Unit C, Bay 4, Shelf 6","","","","","Accessioned 5 March 2007, as it is not known when the material was received and it had never been accessioned into the collection","","","Cultural Affairs Committee
Activities, 1970-71
Activities, 1966-1970
Activities, 1971-72
Activities, 1972-73
Programs
Summer School, 1971
Association of College and University Concert Managers (ACUCM)
Dalhousie University Cultural Affairs
Cultural Affairs - Miscellaneous
Cultural Affairs - Finance, 1970-73
Programs presented, 1953-1968","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 box","","","1953-1973","","","","None","","","","","Cultural Affairs Committee","","","",""
"2887","None","","","2007-37","","","Unit C, Bay 5, Shelf 1","","","","","Accessioned 6 March 2007, as it is not known when the material was received and it had never been accessioned into the collection","","","Faculty Manual, revised sheets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 file folder","","","1971, 1976","","","","None","","","","","Faculty Association","","","",""
"2888","None","","","2007-38","","","Unit C, Bay 5, Shelf 1","","","","","Accessioned 6 March 2007, as it is not known when the material was received and it had never been accessioned into the collection","","","Faculty Manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 file folder","","","1975-1978","","","","None","","","","","Faculty Association","","","",""
"2889","None","","","2007-39","","","Unit C, Bay 5, Shelf 1","","","","","Accessioned 6 March 2007, as it is not known when the material was received and it had never been accessioned into the collection","","","Faculty Manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","2 file folders","","","1979-1987","","","","None","","","","","Faculty Association","","","",""
"2890","None","","","2007-40","","","Unit C, Bay 5, Shelf 1","","","","","Accessioned 6 March 2007, as it is not known when the material was received and it had never been accessioned into the collection","","","Faculty Manual, revised pages","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 file folder","","","1982-1983","","","","None","","","","","Faculty Association","","","",""
"2891","None","","","2007-41","","","Unit C, Bay 5, Shelf 1","","","","","Accessioned 6 March 2007, as it is not known when the material was received and it had never been accessioned into the collection","","","Faculty Manual, revised and additional pages","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 file folder","","","1986","","","","None","","","","","Faculty Association","","","",""
"2892","None","","","2007-42","","","Unit C, Bay 5, Shelf 1","","","","","Accessioned 6 March 2007, as it is not known when the material was received and it had never been accessioned into the collection","","","Faculty Manual, revised and additional pages","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 file folder","","","1987","","","","None","","","","","Faculty Association","","","",""
"2893","None","","","2007-43","","","Unit C, Bay 5, Shelf 1","","","","","Accessioned 7 March 2007, as it is not known when the material was received and it had never been accessioned into the collection","","","Tributes to Faculty - Sister Louise Adelaide and Sister Maura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 file folder","","","1952, 1954-1957, 1969","","","","None","","","","","Faculty Association","","","",""
"2894","Yes- contains home addresses","","","2007-44","","","Unit C, Bay 5, Shelf 1","","","","","Accessioned 7 March 2007, as it is not known when the material was received and it had never been accessioned into the collection","","","Faculty List","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 file folder","","","197?","","","","None","","","","","Faculty Association","","","",""
"2895","None","","","2007-45","","","Faculty Writings","","","","","March 2007","","","The Practice of Language Rights in Canada, by C. Michael MacMillan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 volume","","","1998","","","","None","","","","","Faculty Writings","","","",""
"2896","None","","","2007-46","","","Faculty Writings","","","","","March 2007","","","Learning about HIV/AIDS in the Meshwork: the nature and value of indigenous learning processes in community-based HIV/AIDS organizations, by Donovan Plumb; in collaboration with Robert Allan, Jane Allan, and Christine Porter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 volume","","","[200?]","","","","None","","","","","Faculty Writings","","","",""
"2897","None","","","2007-47","","","Theses","","","","","March 2007","","","","Hope in Child and Youth care: an ecological perspective, by Mark E.R. Smith","A qualitative study of the assessment practices of four Nova Scotia grade 12 mathematics teachers, by C. David Pilmer","","","","","","","","","","","Being a teller in a time of globalization: the everyday lives of five women bank workers in Halifax, Nova Scotia, by Viola Winstanley","","","","","","","","","","","Dietary habits, health beliefs and quality of life among Chinese-Canadians, by Stephanie Wai-Hai Kwok","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","4 volumes","","","2006","","","","None","","","","","Theses","","","",""
"2898","None","","","2007-48","","","Unit B, Bay 4, Shelf 4","","","","","March 2007","","","","MSVU Art Gallery exhibition brochures","Atlantic Ephemera form the collection of Lou Collins, Halifax, 1976","George Steeves: photographs, 2007","","","","","","","","","","Images of Lunenburg County, 1976","","","","","","","","","","","The expressionist image, 1978","","","","","","","","","","","Room of fears, by Michael Fernandes, 2006","","","","","","","","","","","Hang-ups, sculpture by Elspeth Pratt, 2004","","","","","","","","","","","Little Scratchings, 2000","","","","Legend drawings, by Leonard Paul, 2005","Epistrophe: wall paintings, by Denyse Thomasos, 2004","Roots and shoots: contemporary art in Halifax, 2006","Art Gallery","","","","","10 volumes","","","1976, 1978, 2000, 2004-2007","","","","None","","","","","Art Gallery","","","",""
"2899","None","","","2007-49","","","Yearbooks","","","","","March 2007","","","Mount Saint Vincent University: Mystonian, vol. 1, 2006 (student yearbook)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Students' Union","","","","","2 copies","","","2006","","","","None","","","","","Students' Union","","","",""
"2900","None","","","2007-50","","","Unit C, Bay 5, Shelf 4","","","","","Accessioned 3 April 2007, as it is not known when the material was received and it had never been accessioned into the collection","","","","Collective agreement between MSVU and MSVU Staff Association, Effective July 1, 1986 to June 30, 1987","Collective agreement between MSVU and MSVU Staff Association, Effective July 1, 1987 to June 30, 1988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","2 volumes","","","1986-1988","","","","None","","","","","Staff Association","","","",""
"2901","None","","","2007-51","","","Unit C, Bay 5, Shelf 4","","","","","Accessioned 3 April 2007, as it is not known when the material was received and it had never been accessioned into the collection","","","","Miscellaneous memos, minutes, agendas from Staff Association","MSVU Group Insurance Report, 1991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 file folder","","","1985-1999","","","","CC 31","","","","","Staff Association","","","",""
"2902","None","","","2007-52","","","Unit B, Bay 4, Shelf 4","","","","","April 3, 2007","","","Home Economic brochures
-The story of coffee, 1950
-Duncan Hines' carving guide, 1951
-Tested recipes using Canada's canned foods, n.d.
-Prelude to home freezing, 1948
-Irma Harding presents freezer fancies, n.d.
-Preserve by freezing, 1967
-Freezing foods, n.d.
-Feeding your folks, n.d.
-Appetizing recipes: using Canada's canned foods, n.d.
-Meeting over tea: a handbook of hints on preparing tea and snacks for group meetings, n.d.
-The story of best yeast, n.d.
-Home canning of fruits and vegetables, 1965
-Cotton talk, vol. 2, no. 2 and 3
-Decorating from a to z, n.d.
-Butterick's fashion story on new micacle fibers, n.d.
-24 ways to set a party table, 1951
-Money management: your health dollar, 1951
-Better buymanship: use and care: fabrics, n.d.
-Better buymanship: use and care: household textiles, n.d.
-Money management: your home furnishing dollar, 1952
-Money management: your shelter dollar, 1952","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Judy Dickinson","","","","","1 file folder","","","1948-1967","","","","Judy Dickinson received the brochures from Joanne Zwicker McPhee, a former professor in the Home Economics department","","","","","","Applied Human Nutrition","Family Studies and Gerontology","",""
